Brazil,Diego,G,Barros,male,Bauru,DiegoGomesBarros@armyspy.com,"(14) 7751-8068",Alves,225.442.241-34,SP
Brazil,Melissa,A,Costa,female,"Rio de Janeiro",MelissaAzevedoCosta@superrito.com,"(21) 6476-9414",Fernandes,201.735.757-06,RJ
Brazil,Giovanna,P,Correia,female,"Ribeirão Preto",GiovannaPereiraCorreia@gustr.com,"(16) 8288-8966",Carvalho,315.148.339-99,SP
Brazil,Daniel,G,Barbosa,male,"Rio de Janeiro",DanielGomesBarbosa@einrot.com,"(21) 2571-4351",Costa,462.468.234-32,RJ
Brazil,Breno,R,Barros,male,Campinas,BrenoRodriguesBarros@cuvox.de,"(19) 5794-8645",Silva,709.560.248-40,SP
Brazil,Miguel,P,Martins,male,Divinópolis,MiguelPereiraMartins@cuvox.de,"(37) 2902-8127",Silva,476.967.123-73,MG
Brazil,Gabrielle,O,Goncalves,female,"Francisco Morato",GabrielleOliveiraGoncalves@gustr.com,"(11) 6599-5033",Castro,663.019.676-74,SP
Brazil,Rodrigo,S,Melo,male,Ipatinga,RodrigoSilvaMelo@rhyta.com,"(31) 3658-9214",Araujo,308.528.935-66,MG
Brazil,Estevan,C,Goncalves,male,"João Pessoa",EstevanCastroGoncalves@dayrep.com,"(83) 4495-9494",Silva,568.213.473-79,PB
Brazil,Rebeca,S,Azevedo,female,Goiânia,RebecaSousaAzevedo@teleworm.us,"(62) 9926-9987",Lima,128.840.709-23,GO
Brazil,Amanda,S,Rocha,female,Altamira,AmandaSouzaRocha@dayrep.com,"(93) 3105-3416",Martins,658.637.381-62,PA
Brazil,Gabriela,C,Ferreira,female,"Rio de Janeiro",GabrielaCorreiaFerreira@armyspy.com,"(21) 3464-6605",Fernandes,711.086.263-19,RJ
Brazil,Eduardo,C,Ferreira,male,Colombo,EduardoCunhaFerreira@rhyta.com,"(41) 3680-7855",Pinto,644.171.793-01,PR
Brazil,José,C,Alves,male,Itu,JoseCostaAlves@superrito.com,"(11) 9653-4426",Ribeiro,879.295.175-94,SP
Brazil,Gabrielle,S,Carvalho,female,"São Paulo",GabrielleSilvaCarvalho@armyspy.com,"(11) 5333-6997",Araujo,647.439.171-58,SP
